1044638749|119|"Original Star Wars Painted artwork, 1ofa kind"|150.00|8|308.03|2001-12-06 07:54:39|2001-12-16 07:54:39
1044650862|127|"LOEWS TOM&JERRY lot of *6* old cookie cutters"|9.00|0|9.00|2001-12-06 08:35:59|2001-12-16 08:35:59
1044652547|128|"DESTROYER DUCK #1"|7.00|0|7.00|2001-12-06 08:41:18|2001-12-16 08:41:18
1044670345|129|"Harmony Garden Sunflower II"|5.00|2|10.50|2001-12-06 09:41:46|2001-12-16 09:41:46
1044677094|132|"Avon-Sunny Time Convertible Fanny Pack"|2.75|0|2.75|2001-12-06 09:59:27|2001-12-13 09:59:27
1044682407|133|"Dan Dare Deluxe Edition Vol 10 New HB 1st Ed"|9.00|4|26.00|2001-12-06 10:14:25|2001-12-16 10:14:25
1044688877|138|"BROWN & BIGELOW SALEMAN SAMPLE 1922 CALENDER"|5.00|0|5.00|2001-12-06 10:30:44|2001-12-13 10:30:44
1044689408|139|"PRECIOUS MOMENTS~HAPPY BIRTHDAY CUPCAKE BOX"|11.60|0|11.60|2001-12-06 10:31:45|2001-12-16 10:31:45
1044698086|140|"AVENGERS' QUASAR SERIES--ISSUES 1-60"|24.99|0|24.99|2001-12-06 10:53:09|2001-12-16 10:53:09
1044704534|133|"10 Issues 2000AD #'s 591-600 Judge Dredd NM"|6.00|0|6.00|2001-12-06 11:08:18|2001-12-16 11:08:18
1044707198|141|"Dept. 56 Green Grocer Dickens Village"|3.00|22|61.10|2001-12-06 11:16:43|2001-12-13 11:16:43
1044709075|161|"Alpine Village Polka Fest"|15.00|0|15.00|2001-12-06 11:19:45|2001-12-16 11:19:45
1044725095|162|"David Winter Christmas in Scotlan & Hogmay 88"|99.99|0|99.99|2001-12-06 12:01:05|2001-12-13 12:01:05
1044730246|163|"Dept 56 Snow Village Jacks Corner Barber Shop"|45.00|1|45.00|2001-12-06 12:14:05|2001-12-13 12:14:05
1044731826|165|"NORTH POLE SANTA S BELL REPAIR"|15.00|3|16.75|2001-12-06 12:17:44|2001-12-13 12:17:44
1044753275|169|"Avon 1987 Christmas Bell NIB and MORE"|7.00|0|7.00|2001-12-06 13:09:07|2001-12-13 13:09:07
1044760560|170|"NORMAN ROCKWELL PLATE~MIB~FAMILY'S MEASURE"|15.00|0|15.00|2001-12-06 13:26:10|2001-12-16 13:26:10
1044766839|137|"Duncan Royale Figure of Fran Holda !!!!!!!!!!"|185.00|0|185.00|2001-12-06 13:42:47|2001-12-16 13:42:47
1044769132|171|"BRAND NEW 2001 GREEN MARGUERITE"|19.00|0|19.00|2001-12-06 13:49:00|2001-12-16 13:49:00
1044771169|172|"BRADFORD EXCHANGE MIRACLE OF LIFE PLATE 1995"|12.95|1|12.95|2001-12-06 13:53:56|2001-12-13 13:53:56
1044772419|58|"1876 Series Cape Cod Sugar Bowl"|9.95|0|9.95|2001-12-06 13:57:38|2001-12-13 13:57:38
1044774869|174|"DBL QUEEN PINK DAMASK BEDSPREAD WITH FRINGE"|7.50|1|7.50|2001-12-06 14:03:03|2001-12-16 14:03:03
1044780959|176|"GREEN MOUNTAIN: MISTER MIRACLE #7 VGF KIRBY"|1.00|0|1.00|2001-12-06 14:17:33|2001-12-16 14:17:33
1044789966|177|"Gallon milk bottle with plastic handle"|7.95|0|7.95|2001-12-06 14:39:39|2001-12-16 14:39:39
1044790001|178|"Cherished Teddies Jerry Ready To Splash NEW"|9.50|0|9.50|2001-12-06 14:39:49|2001-12-13 14:39:49
1044790439|179|"15' PIZZA BAKING STONE +++++"|8.95|2|9.60|2001-12-06 14:40:52|2001-12-16 14:40:52
1044797607|182|"MIB Fabulous SAKURA BARN Cookie Jar Oneida NR"|24.99|0|24.99|2001-12-06 14:58:28|2001-12-16 14:58:28
1044804097|183|"""Christmas Cook-Out"" 2nd In A Nutshell series"|4.50|0|4.50|2001-12-06 15:13:39|2001-12-16 15:13:39
1044808556|184|"417785 Christmas Girl - Limited Edition! NR!"|9.99|1|9.99|2001-12-06 15:24:56|2001-12-16 15:24:56
1044809898|36|"PRECIOUS MOMENTS MUSICAL CHRISTMAS HOUSE N/R!"|8.99|1|8.99|2001-12-06 15:26:31|2001-12-13 15:26:31
1044813117|187|"Beautiful Vintage Wallpaper, LEAF/ STRIPE"|9.99|0|9.99|2001-12-06 15:33:24|2001-12-13 15:33:24
1044819242|102|"1965 Jerry Lewis #90 October DC Comic"|3.05|0|3.05|2001-12-06 15:46:35|2001-12-16 15:46:35
1044820175|188|"Philadelphia 76ers JERRY STACKHOUSE Jersey Bo"|1.00|1|1.00|2001-12-06 15:48:31|2001-12-13 15:48:31
1044831955|190|"Pair Vintage Drapes, Floral Faille Roses!!!"|22.00|2|46.00|2001-12-06 16:13:07|2001-12-16 16:13:07
1044843918|193|"EMMETT KELLY JR CLEANING UP DEAF FIGURINE"|14.97|0|14.97|2001-12-06 16:34:57|2001-12-13 16:34:57
1044846301|194|"BRADFORD EXCHANGE AN ANGEL'S AFFECTION PLATE"|14.99|0|14.99|2001-12-06 16:39:21|2001-12-16 16:39:21
1044846316|195|"Dickens Village ""Cottage of Bob Cratchit"|9.99|10|41.00|2001-12-06 16:39:05|2001-12-13 16:39:05
1044847509|205|"Swarovski 1997 Christmas Ornament"|10.00|7|59.00|2001-12-06 16:41:14|2001-12-16 16:41:14
1044848909|212|"Wooden Architecture in the Berkshires 1922"|4.00|0|4.00|2001-12-06 16:43:35|2001-12-13 16:43:35
1044849628|213|"Awesome Radko Batgirl Ornament- NR!!!"|7.50|1|7.50|2001-12-06 16:44:57|2001-12-13 16:44:57
1044850586|214|"CREEPY #2 DAVIS FRAZETTA WILLIAMSON more! FN"|14.95|0|14.95|2001-12-06 16:46:53|2001-12-16 16:46:53
1044853098|215|"DUNCAN ROYALE-18""-ST. NICHOLAS SANTA-RARE-MIB"|150.00|2|154.01|2001-12-06 16:51:04|2001-12-13 16:51:04
1044855059|217|"thor 128 - 140 jack kirby art all VGFN BV$135"|39.99|0|39.99|2001-12-06 16:54:48|2001-12-16 16:54:48
1044855531|218|"THE RINGMASTER - CIRCUS SERIES NR CC 50%OFF"|8.95|0|8.95|2001-12-06 16:55:13|2001-12-13 16:55:13
1044861783|219|"Ace Willie Beginner Magic Book Grab #8"|0.25|4|3.25|2001-12-06 17:03:30|2001-12-16 17:03:30
1044863124|223|"Our Friendship Blessed Bag Precious Moment"|2.50|2|2.75|2001-12-06 17:05:23|2001-12-13 17:05:23
1044863839|225|"Radko ~~CHILLIN DELIVERIES ~~REDUCED"|34.00|0|34.00|2001-12-06 17:06:03|2001-12-13 17:06:03
1044864736|226|"Wolverine Mini Statue by Bowen Designs"|1.00|5|15.50|2001-12-06 17:07:38|2001-12-16 17:07:38
1044864943|232|"Radko Heritage Santa"|20.00|0|20.00|2001-12-06 17:08:53|2001-12-13 17:08:53
1044880223|233|"Dept. 56 Farmer's Market N Eng Village NIB"|19.99|3|26.00|2001-12-06 17:30:37|2001-12-13 17:30:37
1044880929|237|"MARVEL COLLECTORS ITEM CLASSICS 15 NM 9.4 CGC"|9.99|6|22.26|2001-12-06 17:31:10|2001-12-16 17:31:10
1044884674|244|"Star Wars: Dark Lords of the Sith (Full Run!)"|5.99|1|5.99|2001-12-06 17:36:18|2001-12-16 17:36:18
1044884849|201|"PM**Catelog pc**My Love Will Keep You Warm"|18.99|0|18.99|2001-12-06 17:35:51|2001-12-13 17:35:51
1044896146|246|"Snowbabies Make A Wish, MIB, NR"|22.50|0|22.50|2001-12-06 17:50:53|2001-12-13 17:50:53
1044896485|247|"ROYAL DOULTON IMPERIAL PALACE CHEN CHI"|14.99|0|14.99|2001-12-06 17:50:54|2001-12-16 17:50:54
1044897718|248|"""The Lovers"" Collector Plate by Lee Bogle"|20.00|3|21.50|2001-12-06 17:52:58|2001-12-13 17:52:58
1044908245|252|"character shaving mug BLACK MAN German porcel"|24.99|1|24.99|2001-12-06 18:06:06|2001-12-16 18:06:06
1044910123|254|"WEIRD WESTERN TALES #14 CGC VF 8.0 Toth art"|30.00|0|30.00|2001-12-06 18:07:13|2001-12-16 18:07:13
1044913099|255|"NEW Dragon Magazine #287 TSR AD&D D&D RPG 3E"|4.95|4|7.00|2001-12-06 18:10:42|2001-12-16 18:10:42
1044914830|74|"X-MEN GRAPHIC NOVEL.GOD LOVES-MAN KILLS NM"|8.50|0|8.50|2001-12-06 18:12:58|2001-12-16 18:12:58
1044917206|259|"New Michigan State xxl"|2.99|1|2.99|2001-12-06 18:15:11|2001-12-16 18:15:11
1044923263|261|"Oliver Twist retired 1993"|14.00|0|14.00|2001-12-06 18:21:40|2001-12-13 18:21:40
